Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
GRAPHS,Temple University,"Alexey Uversky, Dusan Ramljak, Vladan Radosavljevic, Kosta Ristovski, Zoran Obradovic",http://link.springer.com/article/10.1007%2Fs13278-014-0211-7#page-1,"Panning for Gold Using Variograms to Select Useful
Connections in a Temporal Multigraph Setting","Data Mining, Machine Learning","Conditional Random Fields, Complex Networks","H.2.8, H.3.1, G.2.2, H.5.3","68R10, 62M13"
GRAPHS,Temple University,"Athanasia Polychronopoulou, Zoran Obradovic",In Press,"Hospital Pricing Estimation by Gaussian Conditiona Random Fields Based Regression
on Graphs","Data Mining, Machine Learning","Conditional Random Fields, Healthcare Informatics, Complex Networks","H.2.8, J.3 ","68R10, 62M14"
GRAPHS,Temple University,"Gregor Stiglic, F. Wang, Adam Davey, Zoran Obradovic",In Press,Readmission Classification Using Stacked Regularized Logistic Regression Models,"Data Mining, Machine Learning",Healthcare Informatics,"H.2.8, J.3 , G.3, G.2.2","68R10, 62M15"
GRAPHS,Temple University,"Vladan Radosavljevic, Slobodan Vucetic, Zoran Obradovic",http://www.dabi.temple.edu/~zoran/papers/ngcrf_ecml14.pdf,Neural Gaussian Conditional Random Fields,"Data Mining, Machine Learning",Conditional Random Fields,"H.2.8, G.3","68R10, 62M16"
GRAPHS,LeHigh University,"Afonso S. Bandeira, Katya Scheinberg, Luis Nunes Vicente",http://arxiv.org/pdf/1304.2808v1.pdf,Convergence of trust-region methods based on probabilistic models,Machine Learning,,G.1.6,"68R10, 62M17, 80M50  "
GRAPHS,LeHigh University,"Xiaocheng Tang, Katya Scheinberg",http://opt.kyb.tuebingen.mpg.de/papers/opt2013_submission_10.pdf,Efficient Quasi-Newton Proximal Method for Large Scale Sparse Optimization,Machine Learning,,G.1.6,"68R10, 62M17, 80M50  "
GRAPHS,LeHigh University,"Xiaocheng Tang, Katya Scheinberg",http://arxiv.org/pdf/1311.6547v3.pdf,Practical Inexact Proximal Quasi-Newton Method with Global Complexity Analysis,Machine Learning,,G.1.6,"68R10, 62M17, 80M50  "
GRAPHS,University of Washington,"Raja Hafiz Affandi, Emily Fox, Ben Taskar",http://papers.nips.cc/paper/4916-approximate-inference-in-continuous-determinantal-processes.pdf,Approximate inference in continuous determinantal processes,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F15  "
GRAPHS,University of Washington,"Raja Hafiz Affandi, Alex Kulesza, Emily Fox, Ben Taskar",https://www.stat.washington.edu/~ebfox/publications/AISTATS2013.pdf,Nystrom approximation for large-scale determinantal processes,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F16"
GRAPHS,University of Washington,"Sivan Aldor-Noiman, Lawrence D. Brown, Emily B. Fox, Robert A. Stine",http://arxiv.org/pdf/1304.5642v1.pdf,Spatio-temporal low count processes with application to violent crime events,Machine Learning,,"H.2.8, G.3","68R10, 62M20, 62F17"
