Software Meta Data Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARPA Program Name,Program Teams,Contributors,Sub-contractors,Software,Internal Link,External Link,Public Code Repo,Description,Internal Code Repo,License,Languages,Platform Requirements,Dependent Modules,Dependent Module URLs,Component Modules,Component Module URLs,Industry,Functionality,Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example: ?XDATA?,"Example: ?Kitware, Inc.?, ?Sotera Defense Solutions, Inc.?","Example: ?University of Southern California?, ?Stanford University?","Example: ?Giant Oak, Inc.?",Example: ?Tangelo?,Example: ?https://xd-wiki.xdata.data-tactics-corp.com:8443/display/VIS/Visual+Design+Environment-Kitware+Home?,Example: ?http://kitware.github.io/tangelo/?,Example: ?https://github.com/Kitware/tangelo.git?,"Example: ?Tangelo provides a flexible HTML5 web server architecture that cleanly separates your web applications (pure JavaScript, HTML, and CSS) and web services (pure Python). This software is bundled with some great tools to get you started. (JavaScript/Python)?",Example: ?tools\\visualizations\\kitware\\tangelo; tools\\visualizations\\kitware\\xdata-apps?,"Example: ""ALv2""","Example: ?JavaScript?, ?Python?",Example: ?Linux Redhat?,"Example: ?Tangelo Mapping Extension?, ?Tangelo Minimalistic UI?","Example: ?https://github.com/Kitware/tangelo
mappingextension.git?, ?https://github.com/Kitware/tangelo
minui.git?",Example: ?Ozone Widget Framework?,Example: ?https://github.com/ozoneplatform/owf.git?,Example: ?Medicine?,"Example: ?Dynamic Web Applications?, ?HTML5?",Example: ?Visualization?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XDATA,Paradigm4 Inc. Development Team,Paradigm4,None,SciDB Community Edition ,http://www.scidb.org/forum/viewtopic.php?f=16&t=364,http://scidb.org/forum/viewtopic.php?f=14&t=1329,Source code is available with the product download. ,"SciDB is a massively parallel DBMS and complex analytics platform. It was conceived and designed to support very large scale quantitative analytics on images, time-series, numerical data and ""whole graph"" analytics in problem domains like bio-informatics, financial analytics, industrial and scientific sensor networks, and social network applications.   ",,Affero-GPL,"C/C++
R
Python
","RedHat / CentOS 6.4, or Ubuntu 12.04. We will be providing steps to the next versions of RedHat/CentOS and Ubuntu in the 14.7 release. ","There is a SciDB Enterprise Addition: a set of extensions designed to support the platform in a ""production"" environment. ",www.paradigm4.com,Not Available,Not Available,"Life-Sciences, industrial and scientific sensor networks, financial analytics, mapping and GIS, image processing. ",Data Management (MPP Database) with integrated massively scalable complex analytics,Data Management and Quantitative Analytics. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
