Publication Meta Data Fields,,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code,AMS 2010 classification code
MADCAT,,"Jacob Devlin, Matin Kamali, Krishna Subramanian, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6424408,Statistical Machine Translation as a Language Model for Handwriting Recognition,,,,
MADCAT,,"Shiv Naga Prasad Vitaladevuni, Fred Choi, Rohit Prasad, Premkumar Natarajan",http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=6460143,Detecting Near-Duplicate Document Images Using Interest Point Matching,,,,
MADCAT,,"Huaigu Cao, Jinying Chen, Jacob Devlin, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=6460136,Document Recognition and Translation System for Unconstrained Arabic Documents,,,,
MADCAT,,"Le Kang, David S. Doermann, Huaigu Cao, Rohit Prasad, Prem Natarajan",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&tp=&arnumber=6195414,Local Segmentation of Touching Characters Using Contour Based Shape Decomposition,,,,
MADCAT,,"Jinying Chen, Rohit Prasad, Huaigu Cao, Premkumar Natarajan",http://ieeexplore.ieee.org/xpl/abstractKeywords.jsp?arnumber=6628765,Detecting OOV Names in Arabic Handwritten Data,,,,
MADCAT,,"Premkumar Natarajan, Rohit Prasad, Huaigu Cao, Krishna Subramanian, Shirin Saleem, David Belanger, Shiv Vitaladevuni, Matin Kamali, Ehry MacRostie",http://www.springer.com/computer/image+processing/book/978-1-4471-4071-9,Arabic Text Recognition Using a Script-Independent Methodology: A Unified HMM-Based Approach for Machine-Printed and Handwritten Text,,,,
MADCAT,,"Nadi Tomeh, Nizar Habash, Ryan Roth, Noura Farra, Pradeep Dasigi, Mona Diab",http://aclweb.org/anthology/P/P13/P13-2098.pdf,Ensemble Reranking with Linguistic and Semantic Features for Arabic Character Recognition,,,,
MADCAT,,"Yue Wu, Brian Tracey, Premkumar Natarajan, Joseph P. Noonan",http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6464516,James-Stein Type Center Pixel Weights for Non-Local Means Image Denoising,,,,
MADCAT,,"Yue Wu, Brian Tracey, Premkumar Natarajan, Joseph P. Noonan",http://arxiv.org/abs/1302.5762,Probabilistic Non-Local Means,,,,
MADCAT,,Premkumar Natarajan,Not Yet Published,Some Recent Advances in Offline Handwriting Recognition,,,,
MADCAT,,"Z. Shi, S. Setlur, V. Govindaraju",http://link.springer.com/chapter/10.1007/978-1-4471-4072-6_4,Preprocessing Issues in Arabic OCR,,,,
