Publication Meta Data Fields,,,,,,,
DARPA Program Name,Program Teams,Authors,Link,Title,Categories,Subcategories,ACM 1998 classification code
RATS,,"X. Liu, Y. Wang, X. Chen, M.J.F.Gales, P.C. Woodland",http://mi.eng.cam.ac.uk/~mjfg/RATS/index.html,Efficient Lattice Rescoring Using Recurrent Neural Network Language Models,,,
RATS,,"S. Cumani, O. Plchot, P. Laface",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=06748853,On the Use of i-Vector Posterior Distributions in Probabilistic Linear Discriminant Analysis,,,
RATS,,"M. H. Bahari, N. Dehak, H. Van hamme, Lukas Burget, A. M. Ali,  J. Glass",Not Yet Published,Non-negative Factor Analysis of Gaussian Mixture Model Weight Adaption for Language and Dialect Recognition,,,
RATS,,"N. Dehak, O. Plchot, M. H. Bahari, L. Burget, H. V. Hamme, R. Dehak",Not Yet Published,GMM Weights Adaptation Based on Subspace Approaches for Speaker Verification,,,
RATS,,"D. Martinez, L. Burget, T. Stafylakis, Y. Lei, P. Kenny, E. Lleida",Not Yet Published,Unscented Transform For i-Vector-based Noisy Speaker Recognition,,,
